2022-03-25 09:35:02,699 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:35:02,701 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:38:11,891 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:38:11,893 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:55:42,765 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:55:42,767 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:58:25,784 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:58:25,786 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:20,811 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:20,813 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:57,624 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:57,626 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:57,823 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:58,013 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:58,177 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:58,413 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:58,593 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:58,795 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:59,000 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 09:59:59,169 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 6.569999999999993 and throttle: 30
2022-03-25 09:59:59,402 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 7.810000000000002 and throttle: 30
2022-03-25 09:59:59,604 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 9.099999999999994 and throttle: 30
